| time |reset|ARegister|DRegister|PC[]|RAM64[16]|RAM64[17]|RAM64[18]|RAM64[19]|
| 0    |  0  |       0 |       0 |   0|       0 |       0 |       0 |       0 |
| 1    |  0  |      16 |       0 |   1|      15 |      10 |       7 |       0 |
| 2    |  0  |      16 |      15 |   2|      15 |      10 |       7 |       0 |
| 3    |  0  |      17 |      15 |   3|      15 |      10 |       7 |       0 |
| 4    |  0  |      17 |      25 |   4|      15 |      10 |       7 |       0 |
| 5    |  0  |      18 |      25 |   5|      15 |      10 |       7 |       0 |
| 6    |  0  |      18 |      18 |   6|      15 |      10 |       7 |       0 |
| 7    |  0  |      19 |      18 |   7|      15 |      10 |       7 |       0 |
| 8    |  0  |      19 |      18 |   8|      15 |      10 |       7 |      18 |
| 9    |  0  |       0 |      18 |   9|      15 |      10 |       7 |      18 |
| 10   |  0  |       0 |      18 |  10|      15 |      10 |       7 |      18 |
| 11   |  1  |       0 |      18 |   0|       0 |       0 |       0 |       0 |
| 12   |  0  |      16 |      18 |   1|      56 |       4 |      20 |       0 |
| 13   |  0  |      16 |      56 |   2|      56 |       4 |      20 |       0 |
| 14   |  0  |      17 |      56 |   3|      56 |       4 |      20 |       0 |
| 15   |  0  |      17 |      60 |   4|      56 |       4 |      20 |       0 |
| 16   |  0  |      18 |      60 |   5|      56 |       4 |      20 |       0 |
| 17   |  0  |      18 |      40 |   6|      56 |       4 |      20 |       0 |
| 18   |  0  |      19 |      40 |   7|      56 |       4 |      20 |       0 |
| 19   |  0  |      19 |      40 |   8|      56 |       4 |      20 |      40 |
| 20   |  0  |       0 |      40 |   9|      56 |       4 |      20 |      40 |
| 21   |  0  |       0 |      40 |  10|      56 |       4 |      20 |      40 |
| 22   |  1  |       0 |      40 |   0|       0 |       0 |       0 |       0 |
