| time |reset|ARegister|DRegister|PC[]|RAM64[16]|RAM64[17]|RAM64[18]|
| 0    |  0  |       0 |       0 |   0|       0 |       0 |       0 |
| 1    |  0  |      16 |       0 |   1|      15 |      10 |       0 |
| 2    |  0  |      16 |      15 |   2|      15 |      10 |       0 |
| 3    |  0  |      17 |      15 |   3|      15 |      10 |       0 |
| 4    |  0  |      17 |       5 |   4|      15 |      10 |       0 |
| 5    |  0  |      10 |       5 |   5|      15 |      10 |       0 |
| 6    |  0  |      10 |       5 |  10|      15 |      10 |       0 |
| 7    |  0  |      18 |       5 |  11|      15 |      10 |       0 |
| 8    |  0  |      18 |       5 |  12|      15 |      10 |       5 |
| 9    |  0  |       0 |       5 |  13|      15 |      10 |       5 |
| 10   |  0  |       0 |       5 |  14|      15 |      10 |       5 |
| 11   |  1  |       0 |       5 |   0|       0 |       0 |       0 |
| 12   |  0  |      16 |       5 |   1|      24 |      25 |       0 |
| 13   |  0  |      16 |      24 |   2|      24 |      25 |       0 |
| 14   |  0  |      17 |      24 |   3|      24 |      25 |       0 |
| 15   |  0  |      17 |      -1 |   4|      24 |      25 |       0 |
| 16   |  0  |      10 |      -1 |   5|      24 |      25 |       0 |
| 17   |  0  |      10 |      -1 |   6|      24 |      25 |       0 |
| 18   |  0  |      17 |      -1 |   7|      24 |      25 |       0 |
| 19   |  0  |      17 |      25 |   8|      24 |      25 |       0 |
| 20   |  0  |      16 |      25 |   9|      24 |      25 |       0 |
| 21   |  0  |      16 |       1 |  10|      24 |      25 |       0 |
| 22   |  0  |      18 |       1 |  11|      24 |      25 |       0 |
| 23   |  0  |      18 |       1 |  12|      24 |      25 |       1 |
| 24   |  0  |       0 |       1 |  13|      24 |      25 |       1 |
| 25   |  0  |       0 |       1 |  14|      24 |      25 |       1 |
| 26   |  0  |       0 |       1 |  15|      24 |      25 |       1 |
| 27   |  1  |       0 |       1 |   0|       0 |       0 |       0 |
