|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0000000000010000|  0  |      0|   0   |    0|    0|      0 |
|1   |     0|0000000000010000|  0  |      0|   0   |   16|    1|      0 |
|1+  |    15|1111110000010000|  0  |     15|   0   |   16|    1|     15 |
|2   |    15|1111110000010000|  0  |     15|   0   |   16|    2|     15 |
|2+  |    15|0000000000010001|  0  |      0|   0   |   16|    2|     15 |
|3   |    15|0000000000010001|  0  |      1|   0   |   17|    3|     15 |
|3+  |    10|1111000010010000|  0  |     25|   0   |   17|    3|     25 |
|4   |    10|1111000010010000|  0  |     35|   0   |   17|    4|     25 |
|4+  |    10|0000000000010010|  0  |     17|   0   |   17|    4|     25 |
|5   |    10|0000000000010010|  0  |     16|   0   |   18|    5|     25 |
|5+  |     7|1111010011010000|  0  |     18|   0   |   18|    5|     18 |
|6   |     7|1111010011010000|  0  |     11|   0   |   18|    6|     18 |
|6+  |     7|0000000000010011|  0  |     18|   0   |   18|    6|     18 |
|7   |     7|0000000000010011|  0  |     18|   0   |   19|    7|     18 |
|7+  |     7|1110001100001000|  0  |     18|   1   |   19|    7|     18 |
|8   |     7|1110001100001000|  0  |     18|   1   |   19|    8|     18 |
