|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|0+  |     0|0000000000010000|  0  |      0|   0   |    0|    0|      0 |
|1   |     0|0000000000010000|  0  |      0|   0   |   16|    1|      0 |
|1+  |     5|1111110000010000|  0  |      5|   0   |   16|    1|      5 |
|2   |     5|1111110000010000|  0  |      5|   0   |   16|    2|      5 |
|2+  |     5|0000000000010001|  0  |      0|   0   |   16|    2|      5 |
|3   |     5|0000000000010001|  0  |      1|   0   |   17|    3|      5 |
|3+  |    10|1111010011010000|  0  |     -5|   0   |   17|    3|     -5 |
|4   |    10|1111010011010000|  0  |    -15|   0   |   17|    4|     -5 |
|4+  |    10|0000000000001010|  0  |     17|   0   |   17|    4|     -5 |
|5   |    10|0000000000001010|  0  |     10|   0   |   10|    5|     -5 |
|5+  |    10|1110001100000001|  0  |     -5|   0   |   10|    5|     -5 |
|6   |    10|1110001100000001|  0  |     -5|   0   |   10|    6|     -5 |
|6+  |    10|0000000000010001|  0  |     10|   0   |   10|    6|     -5 |
|7   |    10|0000000000010001|  0  |     17|   0   |   17|    7|     -5 |
|7+  |    10|1111110000010000|  0  |     10|   0   |   17|    7|     10 |
|8   |    10|1111110000010000|  0  |     10|   0   |   17|    8|     10 |
|8+  |    10|0000000000010000|  0  |      0|   0   |   17|    8|     10 |
|9   |    10|0000000000010000|  0  |      0|   0   |   16|    9|     10 |
|9+  |     5|1111010011010000|  0  |      5|   0   |   16|    9|      5 |
|10  |     5|1111010011010000|  0  |      0|   0   |   16|   10|      5 |
|10+ |     5|0000000000010010|  0  |      0|   0   |   16|   10|      5 |
|11  |     5|0000000000010010|  0  |      0|   0   |   18|   11|      5 |
|11+ |     5|1110001100001000|  0  |      5|   1   |   18|   11|      5 |
|12  |     5|1110001100001000|  0  |      5|   1   |   18|   12|      5 |
